LRI,MW,LRI,MW,LRI,MW,LRI,MW
0.7174822109510002,0.7095583656873428,0.8789121845803505,1.0,0.7280711067134146,0.719285481049362,0.7711575052838051,0.7630626508817315
0.8551621575445775,0.9296665513584558,0.48772600330577537,0.2357556493342469,0.4945917460883958,0.1668717422046261,0.6049843728156111,0.5253648189448024
0.35443615583148214,0.14099782225529878,0.7233099747388329,0.6362662550189218,0.698462664410085,0.38938256858240006,0.6089554101057357,0.7798660591559354
0.7407211095449886,0.6849009194693219,0.5515545507722764,0.6310812041938579,0.6726924525205302,0.6032824574767187,0.7411520647020131,0.20318925939717114
0.557420028583789,0.1793167238759616,0.7857985305444682,0.7216976082183093,0.788121997535567,0.6725941423790283,0.41844118606949066,0.830154561890769
0.7831001832649561,0.8154986486113165,0.6652414971475319,0.6902261878214591,0.11458202415614135,0.10997132933936402,0.4479971150108782,0.4571138667413073
0.6617638985254797,0.5376897995294968,0.711159822770657,0.0,0.8355132821896081,0.6911392752281028,0.40740583996796353,0.8553908591167155
0.7752427670115267,0.740578703367522,0.8683081938569177,0.353352640029165,0.6220812219017463,0.0,0.6246476966654604,0.6063538490264608
0.6064689951447806,0.696605839930251,0.4713112547084652,0.6717784137063815,0.9105964885550156,0.7997783550790044,0.7214195817478589,0.84378630807824
0.6520910273190321,0.8610386953566417,0.44804942167519735,0.6787621018100186,0.8981524264458701,0.862413396029637,0.5741641897150787,0.7450820559944539
0.7922697476915064,0.6814043736838152,0.5352811827680042,0.7197404682585247,0.8070426270419737,0.6932004809220257,0.4419843027631314,0.719618125144489
